"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","perform"
"1",1,101,"MA","b9ee5b91",1,92.84,50,1,25.77,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"2",1,101,"MA","5dd96066",38,70.02,14.62,81.22,74.74,38,36.84,86.84,50,10.53,10.53,7.89,2.63,0,0,0,0,13.16,7.89,10.53,2.63,10.53,0,13.16,5.26,5.26,0,0,0,2.63,2.63,0,0,0,0,2.63,0,0,0,0,15.79,2.63,2.63,2.63,5.26,0,7.89,2.63,0,0,0,10.53,0,10.53,0,0,15.79,2.63,2.63,13.16,0,0,5.26,5.26,0,10.53,5.26,2.63,2.63,21.05,0,0,0,0,0,2.63,0,0,0,2.63,0,"low"
"3",1,101,"MA","interviewer",11,12.85,99,99,25.77,11,18.18,90.91,63.64,27.27,18.18,0,9.09,9.09,0,0,9.09,9.09,9.09,9.09,9.09,9.09,0,27.27,9.09,9.09,18.18,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,18.18,0,36.36,9.09,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"4",1,101,"MA","5dd96066",6,1.8,99,23.51,25.77,6,33.33,100,66.67,16.67,16.67,0,16.67,0,0,0,0,16.67,0,16.67,16.67,16.67,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,16.67,0,0,0,16.67,16.67,0,16.67,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,"low"
"5",1,101,"MA","interviewer",6,1,50,98.01,99,3,0,100,50,16.67,0,0,0,0,0,0,16.67,0,0,16.67,16.67,16.67,0,16.67,16.67,16.67,16.67,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,33.33,16.67,0,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,"low"
"6",1,101,"MA","5dd96066",43,35.82,59.18,77.74,25.77,14.33,11.63,88.37,65.12,11.63,4.65,2.33,2.33,0,0,0,6.98,9.3,13.95,16.28,13.95,6.98,0,20.93,0,2.33,2.33,6.98,2.33,0,0,0,0,0,0,4.65,0,0,0,0,9.3,2.33,0,2.33,2.33,0,2.33,2.33,0,0,2.33,0,0,0,0,0,6.98,2.33,2.33,2.33,0,0,6.98,16.28,0,20.93,0,4.65,16.28,2.33,2.33,0,0,0,0,2.33,0,0,2.33,0,0,"low"
"7",1,101,"MA","interviewer",301,16.94,53.99,66.69,57.18,27.36,17.94,94.35,62.79,20.6,9.3,4.32,2.33,1,0,1.66,11.3,4.32,13.29,15.28,6.98,7.64,1,23.59,5.98,4.65,2.99,1,2.33,3.65,2.66,1,0.66,0,0.33,7.64,0.33,0.33,0,0.33,17.61,2.66,3.32,1.66,3.99,2.99,4.65,1.66,0.33,0.66,0.66,1.33,0.33,1,0,0,7.97,2.66,1.33,3.32,1,0,6.31,15.28,1,13.62,2.99,4.65,5.98,6.31,0.33,0.33,0,0,0,0.66,0,0,0.33,0.33,0,"low"
"8",1,101,"MA","5dd96066",201,9.57,61.75,76.69,18.44,33.5,20.9,95.52,61.69,21.39,10.45,4.98,1.49,1.99,0,1.99,10.95,7.46,8.96,11.44,8.46,11.44,2.49,19.4,4.98,3.48,3.48,0.5,3.98,2.49,1,1.49,0,0,0,11.94,0,0,0,0.5,19.4,4.48,1.49,2.99,6.97,2.49,4.98,0,0,0,0,1.49,0,1.49,0,0,8.96,1.49,1.49,3.48,1,1.49,0.5,18.91,1,13.93,3.98,4.48,5.47,5.47,0,0,0,0,0,1,0,0,1,0,0,"low"
"9",1,101,"MA","interviewer",14,47.35,99,52.86,99,14,28.57,100,64.29,21.43,14.29,0,0,14.29,0,0,7.14,14.29,7.14,14.29,7.14,0,0,28.57,0,0,0,0,0,7.14,7.14,0,0,0,0,14.29,0,0,0,0,14.29,7.14,0,0,7.14,0,0,7.14,0,0,7.14,0,0,0,0,0,7.14,0,0,7.14,0,0,0,21.43,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,"low"
"10",1,101,"MA","5dd96066",76,44.7,17.84,81.22,74.74,15.2,10.53,97.37,67.11,22.37,18.42,13.16,0,5.26,0,0,3.95,5.26,18.42,7.89,3.95,7.89,3.95,22.37,2.63,3.95,1.32,0,0,2.63,2.63,0,0,0,0,6.58,0,0,0,0,15.79,3.95,0,7.89,2.63,1.32,3.95,3.95,0,1.32,2.63,1.32,0,1.32,0,0,6.58,0,1.32,5.26,1.32,0,2.63,15.79,0,13.16,5.26,7.89,0,7.89,0,1.32,0,0,0,2.63,0,0,2.63,0,0,"low"
